y_test,predicted_prob_rf,predicted_prob_xgboost
1,0.203508305,0.19626528
0,0.237897751,0.207742319
0,0.078318279,0.065012351
1,0.285388084,0.258552104
1,0.459718496,0.436196834
0,0.204884064,0.242163345
0,0.02874424,0.028141066
0,0.197956912,0.202541381
0,0.13604792,0.120609045
0,0.065612072,0.062034935
0,0.064771532,0.080247171
0,0.011070335,0.028457364
0,0.250217808,0.23822616
0,0.160293592,0.218859643
0,0.221568591,0.118349314
0,0.212104849,0.061118037
0,0.070007944,0.082069188
0,0.049768383,0.054061424
0,0.294188813,0.237567633
0,0.028267106,0.07636185
0,0.097964988,0.113989353
0,0.094443859,0.118503742
0,0.048625782,0.060166582
1,0.276237125,0.233110443
0,0.024969657,0.048641685
0,0.153813438,0.131582588
0,0.112828012,0.128454611
0,0.124381178,0.094690576
1,0.121028942,0.118490249
0,0.36547208,0.371820271
0,0.10645122,0.097159013
0,0.287212381,0.208684221
1,0.156750211,0.183230609
1,0.701275633,0.942710876
0,0.065961249,0.082687661
1,0.128418985,0.14789997
1,0.21652704,0.178770155
0,0.140154954,0.084813207
0,0.138725916,0.168094113
1,0.084924675,0.122210316
0,0.086397121,0.068329811
1,0.442630415,0.355075389
0,0.115347965,0.122816056
0,0.377595161,0.497466892
0,0.176019506,0.174444973
1,0.122560979,0.158645451
0,0.266829465,0.274387717
1,0.150931928,0.160050064
0,0.062780136,0.062600225
0,0.100985245,0.134565279
0,0.230750665,0.230304867
1,0.243844004,0.224701479
0,0.14645271,0.121846117
0,0.233227108,0.190754384
0,0.025430559,0.062716253
1,0.255150519,0.235887796
0,0.328174976,0.26173979
0,0.126680965,0.174482763
0,0.311970371,0.221533433
0,0.017010539,0.017838443
0,0.142708085,0.08273942
1,0.169673276,0.186781317
0,0.312945504,0.374885648
1,0.144250104,0.1567339
0,0.119924391,0.094121091
0,0.147868436,0.112195306
0,0.153417928,0.136678308
0,0.008718015,0.02537689
0,0.211039137,0.193126872
0,0.019952144,0.03861649
0,0.099141857,0.103304945
0,0.069920403,0.05892862
0,0.046329346,0.060693242
0,0.129578194,0.116884694
0,0.121208283,0.103668816
0,0.096193355,0.084952995
0,0.163136042,0.144494325
0,0.014126964,0.033198368
0,0.225650774,0.207104772
0,0.125687481,0.140727013
0,0.30258101,0.161517754
1,0.42461035,0.416831374
0,0.166697654,0.244439155
0,0.20198685,0.202549875
0,0.047216372,0.033123974
0,0.086169665,0.097060926
0,0.041150983,0.046026591
0,0.340355269,0.241709962
0,0.117136715,0.150611028
0,0.309962219,0.308745772
0,0.035888037,0.050663713
0,0.396003197,0.449657828
0,0.071814416,0.089805692
0,0.128369818,0.099115729
